epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6943593621253967,0.7616110444068909,0.0010000000474974513,0.5865972638130188,0.6923184990882874,0.6731005311012268,0.6483750939369202,0.0,0.6095278263092041,1.0,0.6483750939369202
1,0.734916090965271,0.8104018568992615,0.0010000000474974513,0.5304813981056213,0.7351062893867493,0.7145000696182251,0.8028769493103027,0.0,0.4092969000339508,1.0,0.8028769493103027
2,0.7505993843078613,0.8268947005271912,0.0010000000474974513,0.5120156407356262,0.7484067678451538,0.7368708252906799,0.7433404326438904,0.0,0.4930168688297272,1.0,0.7433404326438904
3,0.7586574554443359,0.8381074070930481,0.0010000000474974513,0.4970313310623169,0.7591582536697388,0.7406220436096191,0.7811667323112488,0.0,0.44652625918388367,1.0,0.7811667323112488
4,0.7717101573944092,0.8530136346817017,0.0005000000237487257,0.47599560022354126,0.7720998525619507,0.7553539872169495,0.8147309422492981,0.0,0.4045736491680145,1.0,0.8147309422492981
5,0.7774041295051575,0.8596846461296082,0.0005000000237487257,0.46596768498420715,0.7772679924964905,0.7625835537910461,0.8552210927009583,0.0,0.3474924564361572,1.0,0.8552210927009583
6,0.7845631241798401,0.8638726472854614,0.0005000000237487257,0.46029898524284363,0.785276472568512,0.7689946889877319,0.8728023171424866,0.0,0.3180086612701416,1.0,0.8728023171424866
7,0.7887253761291504,0.8691744804382324,0.0005000000237487257,0.45206418633461,0.7874472737312317,0.7769744992256165,0.8185935020446777,0.0,0.3911135196685791,1.0,0.8185935020446777
8,0.7893580198287964,0.8715974688529968,0.0005000000237487257,0.4482317268848419,0.7900890707969666,0.774246335029602,0.8861214518547058,0.0,0.2913636863231659,1.0,0.8861214518547058
9,0.7932871580123901,0.8745731711387634,0.0005000000237487257,0.4435008764266968,0.7926474809646606,0.7808620929718018,0.8609483242034912,0.0,0.3305995464324951,1.0,0.8609483242034912
10,0.801611602306366,0.8812398314476013,0.0005000000237487257,0.4325515329837799,0.8001793622970581,0.7912290096282959,0.9019712209701538,0.0,0.2554289698600769,1.0,0.9019712209701538
11,0.7943527102470398,0.8791053295135498,0.0005000000237487257,0.4355487525463104,0.7942849397659302,0.7810667157173157,0.8738678693771362,0.0,0.298404723405838,1.0,0.8738678693771362
12,0.8021776676177979,0.8833205699920654,0.0005000000237487257,0.4293554127216339,0.8023715615272522,0.7891829013824463,0.8472295999526978,0.0,0.3561297059059143,1.0,0.8472295999526978
13,0.8071390390396118,0.8902865052223206,0.0002500000118743628,0.41708722710609436,0.8076016306877136,0.7941617965698242,0.8646776676177979,0.0,0.32296305894851685,1.0,0.8646776676177979
14,0.8102024793624878,0.892794132232666,0.0002500000118743628,0.41195306181907654,0.8092050552368164,0.7998226881027222,0.8871870040893555,0.0,0.28024548292160034,1.0,0.8871870040893555
